POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs,Season
49,KL Rahul,SRH,IS Bindra Stadium,2019-04-08,34,1,7,71,2019
50,Quinton de Kock,RR,Sawai Mansingh Stadium,2019-04-20,34,2,6,65,2019
51,Shubman Gill,DC,Eden Gardens,2019-04-12,34,2,7,65,2019
52,Suresh Raina,DC,Chidambaram,2019-05-01,34,1,8,59,2019
53,Suresh Raina,KXIP,IS Bindra Stadium,2019-05-05,34,2,5,53,2019
54,Shreyas Iyer,RCB,Feroz Shah Kotla Ground,2019-04-28,34,3,2,52,2019
55,Dinesh Karthik,RR,Eden Gardens,2019-04-25,35,9,7,97,2019
56,Shane Watson,SRH,Chidambaram,2019-04-23,35,6,9,96,2019
57,MS Dhoni,RCB,M. Chinnaswamy Stadium,2019-04-21,35,7,5,84,2019
58,AB de Villiers,KXIP,M. Chinnaswamy Stadium,2019-04-24,35,7,3,82,2019
59,Nitish Rana,SRH,Eden Gardens,2019-03-24,35,3,8,68,2019
60,Quinton de Kock,KXIP,IS Bindra Stadium,2019-03-30,35,2,6,60,2019
61,AB de Villiers,KXIP,IS Bindra Stadium,2019-04-13,35,2,5,59,2019
62,Dinesh Karthik,DC,Feroz Shah Kotla Ground,2019-03-30,35,2,5,50,2019
63,Chris Lynn,CSK,Eden Gardens,2019-04-14,36,6,7,82,2019
64,Shubman Gill,KXIP,IS Bindra Stadium,2019-05-03,36,2,5,65,2019
65,David Miller,KKR,Eden Gardens,2019-03-27,36,3,5,59,2019
66,Suresh Raina,KKR,Eden Gardens,2019-04-14,36,1,7,58,2019
67,Shikhar Dhawan,KXIP,Feroz Shah Kotla Ground,2019-04-20,36,1,7,56,2019
68,Parthiv Patel,CSK,M. Chinnaswamy Stadium,2019-04-21,36,4,2,53,2019
69,Shikhar Dhawan,RCB,Feroz Shah Kotla Ground,2019-04-28,36,2,5,50,2019
70,Faf du Plessis,KXIP,IS Bindra Stadium,2019-05-05,37,4,10,96,2019
71,Suryakumar Yadav,CSK,Chidambaram,2019-05-07,37,0,10,71,2019
72,Manish Pandey,MI,Wankhede Stadium,2019-05-02,37,2,8,71,2019
73,Shreyas Iyer,RCB,M. Chinnaswamy Stadium,2019-04-07,37,2,8,67,2019
74,Rohit Sharma,CSK,Chidambaram,2019-04-26,37,3,6,67,2019
75,Virat Kohli,KXIP,IS Bindra Stadium,2019-04-13,37,0,8,67,2019
76,Faf du Plessis,DC,ACA-VDCA Stadium,2019-05-10,37,1,7,50,2019
77,David Warner,KXIP,Rajiv Gandhi Intl. Cricket Stadium,2019-04-29,38,2,7,81,2019
78,KL Rahul,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-04-29,38,5,4,79,2019
79,Kane Williamson,RCB,M. Chinnaswamy Stadium,2019-05-04,38,4,5,70,2019
80,Ajinkya Rahane,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-03-29,38,3,4,70,2019
81,Jos Buttler,RCB,Sawai Mansingh Stadium,2019-04-02,38,1,8,59,2019
82,Suryakumar Yadav,CSK,Wankhede Stadium,2019-04-03,38,1,8,59,2019
83,Rishabh Pant,RR,Feroz Shah Kotla Ground,2019-05-04,38,5,2,53,2019
84,MS Dhoni,RR,Chidambaram,2019-03-31,39,4,4,75,2019
85,Gurkeerat Mann Singh,SRH,M. Chinnaswamy Stadium,2019-05-04,39,1,8,65,2019
86,Jonny Bairstow,CSK,Rajiv Gandhi Intl. Cricket Stadium,2019-04-17,39,3,3,61,2019
87,MS Dhoni,RR,Sawai Mansingh Stadium,2019-04-11,39,3,2,58,2019
88,David Warner,CSK,Chidambaram,2019-04-23,39,2,3,57,2019
89,Virat Kohli,KKR,Eden Gardens,2019-04-19,40,4,9,100,2019
90,Steve Smith,MI,Sawai Mansingh Stadium,2019-04-20,40,1,5,59,2019
91,Mayank Agarwal,SRH,IS Bindra Stadium,2019-04-08,40,3,3,55,2019
92,KL Rahul,MI,Wankhede Stadium,2019-04-10,41,6,6,100,2019
93,AB de Villiers,MI,Wankhede Stadium,2019-04-15,41,4,6,75,2019
94,Robin Uthappa,KXIP,Eden Gardens,2019-03-27,41,2,6,67,2019
95,Ambati Rayudu,RR,Sawai Mansingh Stadium,2019-04-11,41,3,2,57,2019
96,KL Rahul,CSK,Chidambaram,2019-04-06,41,1,3,55,2019
97,Sarfaraz Khan,CSK,Chidambaram,2019-04-06,42,2,4,67,2019
98,Shane Watson,MI,Rajiv Gandhi Intl. Cricket Stadium,2019-05-12,44,4,8,80,2019
99,Steve Smith,KKR,Sawai Mansingh Stadium,2019-04-07,44,1,7,73,2019
100,Rohit Sharma,KKR,Wankhede Stadium,2019-05-05,44,0,8,55,2019
1,KL Rahul,DC,IS Bindra Stadium,2018-04-08,14,4,6,51,2018
2,Ishan Kishan,KKR,Eden Gardens,2018-05-09,17,6,5,62,2018
3,Sunil Narine,RCB,Eden Gardens,2018-04-08,17,5,4,50,2018
4,Jos Buttler,DC,Feroz Shah Kotla Ground,2018-05-02,18,7,4,67,2018
5,Sam Billings,KKR,Chidambaram,2018-04-10,21,5,2,56,2018
6,KL Rahul,KKR,Holkar Cricket Stadium,2018-05-12,22,7,2,66,2018
7,Chris Gayle,CSK,IS Bindra Stadium,2018-04-15,22,4,7,63,2018
8,MS Dhoni,DC,Maharashtra Cricket Association's International Stadium,2018-04-30,22,5,2,51,2018
9,Kieron Pollard,KXIP,Wankhede Stadium,2018-05-16,22,3,5,50,2018
10,Dinesh Karthik,KXIP,Holkar Cricket Stadium,2018-05-12,22,3,5,50,2018
11,Rishabh Pant,RR,Feroz Shah Kotla Ground,2018-05-02,23,5,7,69,2018
12,AB de Villiers,CSK,M. Chinnaswamy Stadium,2018-04-25,23,8,2,68,2018
13,AB de Villiers,DC,M. Chinnaswamy Stadium,2018-04-21,24,5,10,90,2018
14,KL Rahul,KKR,Eden Gardens,2018-04-21,24,2,9,60,2018
15,Shane Watson,DC,Maharashtra Cricket Association's International Stadium,2018-04-30,25,7,4,78,2018
16,Dwayne Bravo,MI,Wankhede Stadium,2018-04-07,25,7,3,68,2018
17,Moeen Ali,SRH,M. Chinnaswamy Stadium,2018-05-17,25,6,2,65,2018
18,Prithvi Shaw,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-05-05,25,3,6,65,2018
19,Karun Nair,CSK,Maharashtra Cricket Association's International Stadium,2018-05-20,25,5,3,54,2018
20,Jos Buttler,CSK,Sawai Mansingh Stadium,2018-05-11,26,2,11,95,2018
21,Andre Russell,CSK,Chidambaram,2018-04-10,26,11,1,88,2018
22,Sunil Narine,KXIP,Holkar Cricket Stadium,2018-05-12,26,4,9,75,2018
23,Virat Kohli,DC,Feroz Shah Kotla Ground,2018-05-12,26,3,7,70,2018
24,Virat Kohli,RR,M. Chinnaswamy Stadium,2018-04-15,26,2,7,57,2018
25,Jason Roy,MI,Wankhede Stadium,2018-04-14,27,6,6,91,2018
26,Jos Buttler,KXIP,Sawai Mansingh Stadium,2018-05-08,27,1,9,82,2018
27,Ambati Rayudu,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-22,27,4,9,79,2018
28,Rishabh Pant,RCB,Feroz Shah Kotla Ground,2018-05-12,27,4,5,61,2018
29,Shane Watson,RR,Maharashtra Cricket Association's International Stadium,2018-04-20,28,6,9,106,2018
30,Kane Williamson,RCB,M. Chinnaswamy Stadium,2018-05-17,28,5,7,81,2018
31,AB de Villiers,DC,Feroz Shah Kotla Ground,2018-05-12,28,6,4,72,2018
32,Chris Gayle,KKR,Eden Gardens,2018-04-21,28,6,5,62,2018
33,Vijay Shankar,CSK,Maharashtra Cricket Association's International Stadium,2018-04-30,28,5,1,54,2018
34,Ambati Rayudu,DC,Feroz Shah Kotla Ground,2018-05-18,28,4,4,50,2018
35,Shreyas Iyer,KKR,Feroz Shah Kotla Ground,2018-04-27,29,10,3,93,2018
36,Suryakumar Yadav,RR,Sawai Mansingh Stadium,2018-04-22,29,3,6,72,2018
37,MS Dhoni,RCB,M. Chinnaswamy Stadium,2018-04-25,29,7,1,70,2018
38,Suryakumar Yadav,DC,Wankhede Stadium,2018-04-14,29,1,7,53,2018
39,Shreyas Iyer,RCB,M. Chinnaswamy Stadium,2018-04-21,29,3,4,52,2018
40,Shikhar Dhawan,DC,Feroz Shah Kotla Ground,2018-05-10,30,4,9,92,2018
41,Chris Lynn,KXIP,Eden Gardens,2018-04-21,30,4,6,74,2018
42,Manish Pandey,RCB,M. Chinnaswamy Stadium,2018-05-17,30,2,7,62,2018
43,Nitish Rana,DC,Eden Gardens,2018-04-16,30,4,5,59,2018
44,Ambati Rayudu,SRH,Maharashtra Cricket Association's International Stadium,2018-05-13,31,7,7,100,2018
45,Suryakumar Yadav,KKR,Wankhede Stadium,2018-05-06,31,2,7,59,2018
46,Shane Watson,SRH,Maharashtra Cricket Association's International Stadium,2018-05-13,31,3,5,57,2018
47,Rohit Sharma,CSK,Maharashtra Cricket Association's International Stadium,2018-04-28,31,2,6,56,2018
48,AB de Villiers,RR,Sawai Mansingh Stadium,2018-05-19,31,0,7,53,2018
49,Karun Nair,DC,IS Bindra Stadium,2018-04-08,31,2,5,50,2018
50,Rohit Sharma,RCB,Wankhede Stadium,2018-04-17,32,5,10,94,2018
51,AB de Villiers,SRH,M. Chinnaswamy Stadium,2018-05-17,32,1,12,69,2018
52,Evin Lewis,RCB,Wankhede Stadium,2018-04-17,32,5,6,65,2018
53,Kane Williamson,RR,Sawai Mansingh Stadium,2018-04-29,32,2,7,63,2018
54,Shubman Gill,CSK,Eden Gardens,2018-05-03,32,2,6,57,2018
55,Robin Uthappa,MI,Wankhede Stadium,2018-05-06,32,3,6,54,2018
56,Suresh Raina,RR,Sawai Mansingh Stadium,2018-05-11,32,1,6,52,2018
57,Shane Watson,SRH,Wankhede Stadium,2018-05-27,33,8,11,117,2018
58,Shikhar Dhawan,RR,Rajiv Gandhi Intl. Cricket Stadium,2018-04-09,33,1,13,78,2018
59,Sanju Samson,RCB,M. Chinnaswamy Stadium,2018-04-15,34,10,2,92,2018
60,Rishabh Pant,RCB,M. Chinnaswamy Stadium,2018-04-21,34,7,6,85,2018
61,MS Dhoni,KXIP,IS Bindra Stadium,2018-04-15,34,5,6,79,2018
62,Rishabh Pant,CSK,Maharashtra Cricket Association's International Stadium,2018-04-30,34,4,7,79,2018
63,Rishabh Pant,MI,Feroz Shah Kotla Ground,2018-05-20,34,4,4,64,2018
64,Suryakumar Yadav,KXIP,Holkar Cricket Stadium,2018-05-04,34,3,6,57,2018
65,Shreyas Iyer,RR,Feroz Shah Kotla Ground,2018-05-02,34,3,3,50,2018
66,Jos Buttler,MI,Wankhede Stadium,2018-05-13,35,5,9,94,2018
67,Kane Williamson,CSK,Rajiv Gandhi Intl. Cricket Stadium,2018-04-22,35,5,6,84,2018
68,Suresh Raina,MI,Maharashtra Cricket Association's International Stadium,2018-04-28,35,4,6,75,2018
69,Ishan Kishan,RR,Sawai Mansingh Stadium,2018-04-22,35,3,4,58,2018
70,Kane Williamson,RCB,Rajiv Gandhi Intl. Cricket Stadium,2018-05-07,35,2,5,56,2018
71,Quinton de Kock,CSK,M. Chinnaswamy Stadium,2018-04-25,35,4,1,53,2018
72,Dinesh Karthik,RR,Eden Gardens,2018-05-23,35,2,4,52,2018
73,Rishabh Pant,SRH,Feroz Shah Kotla Ground,2018-05-10,36,7,15,128,2018
74,KL Rahul,MI,Wankhede Stadium,2018-05-16,36,3,10,94,2018
75,AB de Villiers,KXIP,M. Chinnaswamy Stadium,2018-04-13,36,4,2,57,2018
76,Gautam Gambhir,KXIP,IS Bindra Stadium,2018-04-08,36,1,5,55,2018
77,Chris Lynn,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-05-19,36,3,4,55,2018
78,Sanju Samson,MI,Sawai Mansingh Stadium,2018-04-22,36,0,4,52,2018
79,Virat Kohli,KKR,M. Chinnaswamy Stadium,2018-04-29,37,3,5,68,2018
80,Faf du Plessis,SRH,Wankhede Stadium,2018-05-22,37,4,5,67,2018
81,Evin Lewis,RR,Wankhede Stadium,2018-05-13,37,4,4,60,2018
82,Manish Pandey,KXIP,IS Bindra Stadium,2018-04-19,37,1,3,57,2018
83,Parthiv Patel,CSK,Maharashtra Cricket Association's International Stadium,2018-05-05,37,2,5,53,2018
84,Jos Buttler,KXIP,Holkar Cricket Stadium,2018-05-06,37,0,7,51,2018
85,Kane Williamson,CSK,Maharashtra Cricket Association's International Stadium,2018-05-13,37,2,5,51,2018
86,Sanju Samson,KKR,Eden Gardens,2018-05-23,37,2,4,50,2018
87,Kane Williamson,DC,Feroz Shah Kotla Ground,2018-05-10,38,2,8,83,2018
88,Rahul Tripathi,RCB,Sawai Mansingh Stadium,2018-05-19,38,3,5,80,2018
89,Shikhar Dhawan,CSK,Maharashtra Cricket Association's International Stadium,2018-05-13,38,3,10,79,2018
90,Prithvi Shaw,KKR,Feroz Shah Kotla Ground,2018-04-27,38,2,7,62,2018
91,Chris Gayle,MI,Holkar Cricket Stadium,2018-05-04,38,2,6,50,2018
92,Shikhar Dhawan,KKR,Rajiv Gandhi Intl. Cricket Stadium,2018-05-19,38,1,5,50,2018
93,Chris Gayle,SRH,IS Bindra Stadium,2018-04-19,39,11,1,104,2018
94,Kane Williamson,KXIP,IS Bindra Stadium,2018-04-19,39,2,3,54,2018
95,Suresh Raina,SRH,Rajiv Gandhi Intl. Cricket Stadium,2018-04-22,39,2,5,54,2018
96,Ambati Rayudu,RCB,M. Chinnaswamy Stadium,2018-04-25,40,8,3,82,2018
97,Virat Kohli,MI,Wankhede Stadium,2018-04-17,41,4,7,92,2018
98,Shreyas Iyer,KXIP,Feroz Shah Kotla Ground,2018-04-23,41,1,5,57,2018
99,Hardik Pandya,RCB,M. Chinnaswamy Stadium,2018-05-01,41,1,5,50,2018
100,Ajinkya Rahane,SRH,Sawai Mansingh Stadium,2018-04-29,42,1,5,65,2018
1,Sunil Narine,RCB,M. Chinnaswamy Stadium,2017-05-07,15,4,6,54,2017
2,Chris Lynn,GL,Saurashtra Cricket Association Stadium,2017-04-07,19,8,6,93,2017
3,David Warner,KKR,Rajiv Gandhi Intl. Cricket Stadium,2017-04-30,20,8,10,126,2017
4,Chris Lynn,RCB,M. Chinnaswamy Stadium,2017-05-07,21,4,5,50,2017
5,Aaron Finch,RCB,M. Chinnaswamy Stadium,2017-04-27,22,6,5,72,2017
6,Rahul Tripathi,KKR,Eden Gardens,2017-05-03,23,7,9,93,2017
7,Chris Gayle,GL,Saurashtra Cricket Association Stadium,2017-04-18,23,7,5,77,2017
8,Yuvraj Singh,RCB,Rajiv Gandhi Intl. Cricket Stadium,2017-04-05,23,3,7,62,2017
9,Jos Buttler,KXIP,Holkar Cricket Stadium,2017-04-20,24,5,7,77,2017
10,Sanju Samson,GL,Feroz Shah Kotla Ground,2017-05-04,24,7,0,61,2017
11,Robin Uthappa,DC,Eden Gardens,2017-04-28,24,4,5,59,2017
12,Kieron Pollard,KXIP,Wankhede Stadium,2017-05-11,24,5,1,50,2017
13,Robin Uthappa,SRH,Rajiv Gandhi Intl. Cricket Stadium,2017-04-30,25,4,4,53,2017
14,David Warner,KXIP,IS Bindra Stadium,2017-04-28,25,4,4,51,2017
15,Robin Uthappa,RPS,Maharashtra Cricket Association's International Stadium,2017-04-26,26,6,7,87,2017
16,Kedar Jadhav,DC,M. Chinnaswamy Stadium,2017-04-08,26,5,5,69,2017
17,Moises Henriques,RPS,Maharashtra Cricket Association's International Stadium,2017-04-22,26,2,6,55,2017
18,Kane Williamson,KXIP,IS Bindra Stadium,2017-04-28,26,2,4,54,2017
19,Rishabh Pant,GL,Feroz Shah Kotla Ground,2017-05-04,27,9,6,97,2017
20,Robin Uthappa,SRH,Eden Gardens,2017-04-15,27,4,5,68,2017
21,Ishan Kishan,SRH,Green Park,2017-05-13,27,4,5,61,2017
22,Ajinkya Rahane,MI,Maharashtra Cricket Association's International Stadium,2017-04-06,27,3,6,60,2017
23,Lendl Simmons,KXIP,Wankhede Stadium,2017-05-11,27,4,5,59,2017
24,Martin Guptill,DC,IS Bindra Stadium,2017-04-30,27,3,6,50,2017
25,Dwayne Smith,KXIP,IS Bindra Stadium,2017-05-07,28,4,8,74,2017
26,Dinesh Karthik,DC,Feroz Shah Kotla Ground,2017-05-04,28,5,5,65,2017
27,Nitish Rana,KKR,Wankhede Stadium,2017-04-09,28,3,5,50,2017
28,Chris Lynn,KXIP,IS Bindra Stadium,2017-05-09,29,3,8,84,2017
29,Kieron Pollard,DC,Feroz Shah Kotla Ground,2017-05-06,29,4,5,63,2017
30,Nitish Rana,KXIP,Holkar Cricket Stadium,2017-04-20,29,7,0,62,2017
31,MS Dhoni,SRH,Maharashtra Cricket Association's International Stadium,2017-04-22,29,3,5,61,2017
32,Brendon McCullum,RCB,Saurashtra Cricket Association Stadium,2017-04-18,30,7,2,72,2017
33,Hashim Amla,GL,Saurashtra Cricket Association Stadium,2017-04-23,30,2,9,65,2017
34,Ben Stokes,KXIP,Holkar Cricket Stadium,2017-04-08,30,3,2,50,2017
35,Wriddhiman Saha,MI,Wankhede Stadium,2017-05-11,31,3,11,93,2017
36,Shikhar Dhawan,KXIP,IS Bindra Stadium,2017-04-28,31,1,9,77,2017
37,David Warner,GL,Rajiv Gandhi Intl. Cricket Stadium,2017-04-09,31,4,6,76,2017
38,Dwayne Smith,SRH,Green Park,2017-05-13,31,2,7,54,2017
39,Shreyas Iyer,SRH,Rajiv Gandhi Intl. Cricket Stadium,2017-04-19,31,2,5,50,2017
40,Suresh Raina,KKR,Eden Gardens,2017-04-21,32,4,9,84,2017
41,Suresh Raina,DC,Feroz Shah Kotla Ground,2017-05-04,32,4,5,77,2017
42,Parthiv Patel,GL,Saurashtra Cricket Association Stadium,2017-04-29,32,1,9,70,2017
43,Aaron Finch,DC,Green Park,2017-05-10,32,4,6,69,2017
44,Ambati Rayudu,KKR,Eden Gardens,2017-05-13,32,3,6,63,2017
45,Sanju Samson,KKR,Eden Gardens,2017-04-28,32,3,4,60,2017
46,Rahul Tripathi,SRH,Maharashtra Cricket Association's International Stadium,2017-04-22,32,3,6,59,2017
47,Hashim Amla,RCB,Holkar Cricket Stadium,2017-04-10,32,3,4,58,2017
48,Nitish Rana,GL,Wankhede Stadium,2017-04-16,32,2,4,53,2017
49,Shreyas Iyer,GL,Green Park,2017-05-10,33,2,15,96,2017
50,Kane Williamson,DC,Rajiv Gandhi Intl. Cricket Stadium,2017-04-19,33,5,6,89,2017
51,Gautam Gambhir,GL,Saurashtra Cricket Association Stadium,2017-04-07,33,0,12,76,2017
52,Rohit Sharma,RPS,Wankhede Stadium,2017-04-24,33,3,6,58,2017
53,Rishabh Pant,RCB,M. Chinnaswamy Stadium,2017-04-08,33,4,3,57,2017
54,Hashim Amla,MI,Holkar Cricket Stadium,2017-04-20,34,6,8,104,2017
55,AB de Villiers,KXIP,Holkar Cricket Stadium,2017-04-10,34,9,3,89,2017
56,Gautam Gambhir,KXIP,Eden Gardens,2017-04-13,34,0,11,72,2017
57,Yuvraj Singh,DC,Feroz Shah Kotla Ground,2017-05-02,34,1,11,70,2017
58,Rohit Sharma,SRH,Rajiv Gandhi Intl. Cricket Stadium,2017-05-08,34,2,6,67,2017
59,Yusuf Pathan,DC,Feroz Shah Kotla Ground,2017-04-17,34,2,6,59,2017
60,Rohit Sharma,RCB,Wankhede Stadium,2017-05-01,34,1,6,56,2017
61,Moises Henriques,RCB,Rajiv Gandhi Intl. Cricket Stadium,2017-04-05,34,2,3,52,2017
62,Hashim Amla,GL,IS Bindra Stadium,2017-05-07,35,5,8,104,2017
63,Manan Vohra,SRH,Rajiv Gandhi Intl. Cricket Stadium,2017-04-17,35,5,9,95,2017
64,Robin Uthappa,GL,Eden Gardens,2017-04-21,35,2,8,72,2017
65,Vijay Shankar,GL,Green Park,2017-05-13,35,0,9,63,2017
66,Gautam Gambhir,RPS,Maharashtra Cricket Association's International Stadium,2017-04-26,35,1,6,62,2017
67,Dinesh Karthik,KXIP,Saurashtra Cricket Association Stadium,2017-04-23,35,0,6,58,2017
68,Steve Smith,KKR,Maharashtra Cricket Association's International Stadium,2017-04-26,35,1,4,51,2017
69,Shaun Marsh,SRH,IS Bindra Stadium,2017-04-28,36,2,14,84,2017
70,Brendon McCullum,MI,Wankhede Stadium,2017-04-16,36,3,6,64,2017
71,Shikhar Dhawan,MI,Rajiv Gandhi Intl. Cricket Stadium,2017-05-08,36,2,4,62,2017
72,Sam Billings,KXIP,Feroz Shah Kotla Ground,2017-04-15,36,0,9,55,2017
73,Steve Smith,MI,Maharashtra Cricket Association's International Stadium,2017-04-06,37,3,7,84,2017
74,Manish Pandey,MI,Wankhede Stadium,2017-04-09,37,5,5,81,2017
75,Manish Pandey,DC,Feroz Shah Kotla Ground,2017-04-17,37,3,4,69,2017
76,Lendl Simmons,DC,Feroz Shah Kotla Ground,2017-05-06,37,4,5,66,2017
77,Karun Nair,RPS,Feroz Shah Kotla Ground,2017-05-12,37,0,9,64,2017
78,Shaun Marsh,GL,IS Bindra Stadium,2017-05-07,37,0,6,58,2017
79,Parthiv Patel,RPS,Wankhede Stadium,2017-05-16,37,3,3,52,2017
80,Ben Stokes,GL,Maharashtra Cricket Association's International Stadium,2017-05-01,38,6,7,103,2017
81,Moises Henriques,GL,Rajiv Gandhi Intl. Cricket Stadium,2017-04-09,38,0,6,52,2017
82,Gautam Gambhir,DC,Eden Gardens,2017-04-28,39,0,11,71,2017
83,Virat Kohli,MI,M. Chinnaswamy Stadium,2017-04-14,39,2,5,62,2017
84,Virat Kohli,DC,Feroz Shah Kotla Ground,2017-05-14,39,3,3,58,2017
85,Ajinkya Rahane,MI,Wankhede Stadium,2017-05-16,39,1,5,56,2017
86,Shikhar Dhawan,DC,Rajiv Gandhi Intl. Cricket Stadium,2017-04-19,40,1,7,70,2017
87,Manoj Tiwary,DC,Feroz Shah Kotla Ground,2017-05-12,40,3,5,60,2017
88,Chris Morris,MI,Wankhede Stadium,2017-04-22,40,1,5,52,2017
89,Sanju Samson,RPS,Maharashtra Cricket Association's International Stadium,2017-04-11,41,5,8,102,2017
90,Travis Head,KKR,M. Chinnaswamy Stadium,2017-05-07,41,5,3,75,2017
91,Kieron Pollard,RCB,M. Chinnaswamy Stadium,2017-04-14,41,5,3,70,2017
92,David Warner,GL,Green Park,2017-05-13,41,0,9,69,2017
93,Suresh Raina,KKR,Saurashtra Cricket Association Stadium,2017-04-07,41,0,7,68,2017
94,Mandeep Singh,KKR,M. Chinnaswamy Stadium,2017-05-07,41,1,4,52,2017
95,Virat Kohli,RPS,Maharashtra Cricket Association's International Stadium,2017-04-29,42,1,4,55,2017
96,Saurabh Tiwary,KKR,Eden Gardens,2017-05-13,42,0,9,52,2017
97,Virat Kohli,GL,Saurashtra Cricket Association Stadium,2017-04-18,43,1,7,64,2017
98,David Warner,KXIP,Rajiv Gandhi Intl. Cricket Stadium,2017-04-17,45,2,7,70,2017
99,Manoj Tiwary,MI,Wankhede Stadium,2017-05-16,45,2,4,58,2017
100,Steve Smith,MI,Rajiv Gandhi Intl. Cricket Stadium,2017-05-21,49,2,2,51,2017
1,Chris Morris,GL,Feroz Shah Kotla Ground,2016-04-27,17,8,4,82,2016
2,Kieron Pollard,KKR,Wankhede Stadium,2016-04-28,17,6,2,51,2016
3,David Warner,RCB,M. Chinnaswamy Stadium,2016-04-12,21,5,4,58,2016
4,Quinton de Kock,RCB,M. Chinnaswamy Stadium,2016-04-17,22,3,15,108,2016
5,Krunal Pandya,DC,ACA-VDCA Stadium,2016-05-15,22,6,7,86,2016
6,David Warner,KXIP,Rajiv Gandhi Intl. Cricket Stadium,2016-04-23,23,3,7,59,2016
7,David Warner,RCB,M. Chinnaswamy Stadium,2016-05-29,24,3,8,69,2016
8,Robin Uthappa,KXIP,IS Bindra Stadium,2016-04-19,24,0,9,53,2016
9,AB de Villiers,GL,M. Chinnaswamy Stadium,2016-05-14,25,12,10,129,2016
10,AB de Villiers,RPS,Maharashtra Cricket Association's International Stadium,2016-04-22,25,4,6,83,2016
11,Chris Gayle,SRH,M. Chinnaswamy Stadium,2016-05-29,25,8,4,76,2016
12,Rishabh Pant,GL,Saurashtra Cricket Association Stadium,2016-05-03,25,2,9,69,2016
13,AB de Villiers,DC,M. Chinnaswamy Stadium,2016-04-17,25,1,9,55,2016
14,AB de Villiers,SRH,M. Chinnaswamy Stadium,2016-04-12,26,6,7,82,2016
15,Chris Gayle,KXIP,M. Chinnaswamy Stadium,2016-05-18,26,8,4,73,2016
16,Dwayne Smith,DC,Feroz Shah Kotla Ground,2016-04-27,26,3,5,53,2016
17,Manish Pandey,MI,Eden Gardens,2016-04-13,26,3,3,52,2016
18,KL Rahul,SRH,Rajiv Gandhi Intl. Cricket Stadium,2016-04-30,26,1,6,51,2016
19,Yusuf Pathan,RCB,M. Chinnaswamy Stadium,2016-05-02,27,3,6,60,2016
20,Brendon McCullum,DC,Feroz Shah Kotla Ground,2016-04-27,27,3,6,60,2016
21,Quinton de Kock,KXIP,IS Bindra Stadium,2016-05-07,27,2,6,52,2016
22,Dinesh Karthik,KKR,Eden Gardens,2016-05-08,27,1,8,51,2016
23,Virat Kohli,KXIP,M. Chinnaswamy Stadium,2016-05-18,28,8,12,113,2016
24,Nitish Rana,GL,Green Park,2016-05-21,28,4,7,70,2016
25,Dwayne Smith,RPS,Maharashtra Cricket Association's International Stadium,2016-04-29,28,1,9,63,2016
26,Shikhar Dhawan,KKR,Eden Gardens,2016-05-22,28,3,4,51,2016
27,Steve Smith,GL,Maharashtra Cricket Association's International Stadium,2016-04-29,29,5,8,101,2016
28,David Warner,GL,Saurashtra Cricket Association Stadium,2016-04-21,29,0,9,74,2016
29,Glenn Maxwell,KKR,Eden Gardens,2016-05-04,29,4,6,68,2016
30,AB de Villiers,KKR,Eden Gardens,2016-05-16,29,3,5,59,2016
31,Wriddhiman Saha,DC,IS Bindra Stadium,2016-05-07,29,0,7,52,2016
32,KL Rahul,KKR,M. Chinnaswamy Stadium,2016-05-02,29,2,6,52,2016
33,Gurkeerat Mann Singh,RPS,ACA-VDCA Stadium,2016-05-21,29,3,3,51,2016
34,Hashim Amla,SRH,IS Bindra Stadium,2016-05-15,30,2,14,96,2016
35,AB de Villiers,KXIP,IS Bindra Stadium,2016-05-09,30,2,5,64,2016
36,MS Dhoni,KXIP,ACA-VDCA Stadium,2016-05-21,30,5,4,64,2016
37,Suresh Raina,MI,Green Park,2016-05-21,30,2,8,58,2016
38,Yusuf Pathan,SRH,Eden Gardens,2016-05-22,30,2,3,52,2016
39,Virat Kohli,RPS,M. Chinnaswamy Stadium,2016-05-07,31,7,8,108,2016
40,Dwayne Smith,RCB,M. Chinnaswamy Stadium,2016-05-24,31,6,5,73,2016
41,Ambati Rayudu,KXIP,IS Bindra Stadium,2016-04-25,31,4,4,65,2016
42,Yusuf Pathan,GL,Eden Gardens,2016-05-08,31,1,7,63,2016
43,Manan Vohra,RPS,IS Bindra Stadium,2016-04-17,31,0,7,51,2016
44,Aaron Finch,SRH,Feroz Shah Kotla Ground,2016-05-27,31,2,7,50,2016
45,David Warner,RCB,Rajiv Gandhi Intl. Cricket Stadium,2016-04-30,32,5,9,92,2016
46,Aaron Finch,KXIP,IS Bindra Stadium,2016-04-11,32,0,12,74,2016
47,Ajinkya Rahane,MI,Wankhede Stadium,2016-04-09,32,3,7,66,2016
48,Virat Kohli,SRH,M. Chinnaswamy Stadium,2016-05-29,32,2,5,54,2016
49,Gautam Gambhir,RCB,Eden Gardens,2016-05-16,32,0,7,51,2016
50,AB de Villiers,GL,M. Chinnaswamy Stadium,2016-05-24,33,5,5,79,2016
51,Faf du Plessis,GL,Saurashtra Cricket Association Stadium,2016-04-14,33,4,5,69,2016
